level_0,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
15,7,5,BEL,SVR_RBF,,0.10887505637015926,0.10887505637015926,0.011853777899605357,0.8906204496234345,0.054363985167571904,0.06238508917914815,0.003891899351890268,2020,0,0,log transform,0,Belgium,Europe,0. No Excess Deaths
58,55,54,FRA,SVR_RBF,,0.04429375055290752,0.04429375055290752,0.001961936338043195,0.9215474049007647,0.07399745758809412,0.07728026870769641,0.005972239931533762,2020,0,0,log transform,0,France,Europe,0. No Excess Deaths
46,3,3,DNK,SVR_RBF,,0.019694830605989422,0.019694830605989422,0.00038788635259861767,0.9579140618073937,0.05423882540099004,0.06634477218309724,0.004401628796027074,2020,0,0,log transform,0,Denmark,Europe,0. No Excess Deaths
56,7,7,FJI,POISSON,,0.01747212451639557,0.01747212451639557,0.00030527513511643115,0.9719210074477449,0.031592443613046924,0.03762844297640156,0.001415899720828304,2020,0,0,log transform,0,Fiji,Oceania,0. No Excess Deaths
55,22026,10246,ETH,SVR_RBF,,0.3690691848970946,0.3690691848970946,0.1362120632406058,0.957806201739662,0.05754764283034578,0.06356448930140957,0.004040444300149011,2020,0,0,log transform,0,Ethiopia,Africa,0. No Excess Deaths
2,1097,758,DZA,SVR_RBF,,0.06448585356141923,0.06448585356141923,0.004158425309544805,0.9647829054857665,0.04571397030582082,0.055473037805899544,0.00307725792341476,2020,0,0,log transform,0,Algeria,Africa,0. No Excess Deaths
63,2981,2373,GHA,Bayesian_ARD,,0.07680727074810001,0.07680727074810001,0.005899356839771939,0.9812280160361659,0.0278031241944341,0.032355115246344365,0.0010468534826042254,2020,0,0,log transform,0,Ghana,Africa,0. No Excess Deaths
59,148,143,GAB,SVR_RBF,,0.20342499673633796,0.20342499673633796,0.04138172929717911,0.7604883357918084,0.0635763708736075,0.06890810162417763,0.0047483264694479915,2020,0,0,log transform,0,Gabon,Africa,0. No Excess Deaths
61,20,14,GEO,SVR_RBF,,0.04389539342438331,0.04389539342438331,0.0019268055638813936,0.9583265713236674,0.06420548025663592,0.07218821284693376,0.005211138074034213,2020,0,0,log transform,0,Georgia,Asia,0. No Excess Deaths
60,403,399,GMB,Bayesian_ridge,,0.14947189799431282,0.14947189799431282,0.022341848290022257,0.07668045861873862,0.046347975162694635,0.05587779386649143,0.003122327847386107,2020,0,0,log transform,0,Gambia,Africa,0. No Excess Deaths
53,403,328,ERI,SVR_RBF,,0.021015429577830425,0.021015429577830425,0.00044164828034074985,0.9768367871310517,0.05100759002442454,0.06187947176765887,0.0038290690262444914,2020,0,0,log transform,0,Eritrea,Africa,0. No Excess Deaths
57,3,4,FIN,Bayesian_ridge,,0.05856417929747071,0.05856417929747071,0.0034297630967862966,0.0007940659826302099,0.03885154437780451,0.050432563402033996,0.0025434434513001785,2020,0,0,log transform,1,Finland,Europe,1. 0 to <100
95,1,2,LTU,SVR_RBF,,0.38937689830285716,0.38937689830285716,0.15161436893195357,0.9896438854623417,0.06896958302420719,0.0762546346609553,0.005814769307275766,2020,0,0,log transform,1,Lithuania,Europe,1. 0 to <100
27,3,4,CPV,SVR_RBF,,0.34511194307232307,0.34511194307232307,0.11910225325115435,0.9932544629044351,0.06029815997620605,0.07169955434296865,0.0051408260929803155,2020,0,0,log transform,1,Cabo Verde,Africa,1. 0 to <100
54,0,1,EST,SVR_RBF,,0.2876301469106329,0.2876301469106329,0.08273110141183225,0.9943957071694272,0.059469918304442614,0.06858433532646196,0.004703811052172579,2020,0,0,log transform,1,Estonia,Europe,1. 0 to <100
24,3,4,BGR,SVR_RBF,,0.10283111798917588,0.10283111798917588,0.01057423882690381,0.9852639071286016,0.064416069766684,0.07654148398725381,0.005858598770971031,2020,0,0,log transform,1,Bulgaria,Europe,1. 0 to <100
115,3,4,NZL,SVR_RBF,,0.009151666954717363,0.009151666954717363,8.375300805006578e-05,0.8899033860817416,0.06980551229339978,0.07676704503277784,0.005893179203064542,2020,0,0,log transform,1,New Zealand,Oceania,1. 0 to <100
8,3,4,AUT,SVR_RBF,,0.1398170413643105,0.1398170413643105,0.019548805055869315,0.9300406867594386,0.0560394077160134,0.06881938405650896,0.0047361076219172805,2020,0,0,log transform,1,Austria,Europe,1. 0 to <100
87,3,4,KWT,SVR_RBF,,0.09646303646377463,0.09646303646377463,0.009305117403811514,0.6721867851118026,0.08357408314276804,0.12368800049648489,0.015298721466818445,2020,0,0,log transform,1,Kuwait,Asia,1. 0 to <100
138,3,4,WSM,SVR_RBF,,0.16470609479160525,0.16470609479160525,0.027128097661501253,0.9445801414621702,0.047500385436376934,0.056335788398483605,0.00317372105447872,2020,0,0,log transform,1,Samoa,Oceania,1. 0 to <100
